Restaurant Name,Location,Review,Cuisine,Longitude,Latitude
Staklo Restaurant,"Počitelj bb, Pocitelj Bosnia and Herzegovina",4.0 ,NONE,17.7318273,43.1343788
Restaurant Pizzeria Colombo,"Medjugorje bb, Medjugorje 88220 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.6629672,43.200913
Pivnica Medugorje,"Main Street, Medjugorje 88266 Bosnia and Herzegovina",4.5 ,"Bar, European, Croatian, Central European, Pizza, International",17.6629672,43.200913
Gardens Club & Restaurant,"Pape Ivana Pavla II, Bijakovici Bb, Medjugorje 88266 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.6785871,43.1932917
Restoran Etno Kuća 20,"Bijakovici Šurmanci Bb, Bijakovici 88300 Bosnia and Herzegovina",4.5 ,"Mediterranean, European, Croatian, International",17.6896073,43.18493489999999
Caffe pizzeria ALf,"Bijakovići, Medjugorje Bosnia and Herzegovina",5.0 ,Dinner,17.6862884,43.1963277
Restaurant Dubrovnik,"Pape Ivana Pavla II br. 10 Broj 10, Medjugorje 88266 Bosnia and Herzegovina",4.0 ,Vegetarian Friendly,17.6780338,43.1924338
Ai Dogi,"Fra Slavka Barbarica 29 Medjugorje Hotel & Spa, Medjugorje 88266 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.6856249,43.1904339
Restaurant Filii,"Krstine 67, Medjugorje 88266 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.6629672,43.200913
Restaurant Burrito Medugorje,"Franjevackih Muchenika 2, Medjugorje 88266 Bosnia and Herzegovina",4.5 ,"Breakfast, Dinner, Lunch, Brunch, Drinks",17.6629672,43.200913
Pace E Gioia,"Fra Slavka Barbarica Presso Hotel Leone, Medjugorje 0008000 Bosnia and Herzegovina",4.5 ,Breakfast,17.6811065,43.1903266
Restaurant Regina,"Pape Ivana Pavla II, Medjugorje 88266 Bosnia and Herzegovina",3.5 ,"Lunch, Dinner, Drinks",17.6785871,43.1932917
Sweet Corner by GT Vasilj,"Franjevachkih muchenika 31, Medjugorje 88266 Bosnia and Herzegovina",5.0 ,Cafe,17.6629672,43.200913
Creperia San Giacomo,"Franjevačkih mučenika 5, Medjugorje 88260 Bosnia and Herzegovina",5.0 ,NONE,17.6629672,43.200913
Restaurant No.1,"Podvisoki 106, Visoko 71300 Bosnia and Herzegovina",4.5 ,"Grill, Healthy, Italian, Mediterranean, European",18.1805016,43.9844567
Cevabdzinica Ihtijarevic,"Carsijska bb, Visoko 71300 Bosnia and Herzegovina",4.5 ,"Brunch, Breakfast, Lunch, Dinner",18.1811339,43.9859889
Bonaca,"Branilaca 51, Visoko 71300 Bosnia and Herzegovina",5.0 ,"Mediterranean, Seafood",18.1738266,43.9943268
Caffe Nafaka,"Šareni Hanovi bb Moštre, Visoko, Visoko 71305 Bosnia and Herzegovina",5.0 ,NONE,18.1318894,44.0247408
Verdi,"Branilaca, Visoko 71300 Bosnia and Herzegovina",3.5 ,NONE,18.1765475,43.9930734
Chipas,"Alije Izetbegovića 15, Visoko, Visoko 71300 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",18.1813918,43.9879744
Caffe&snacks Bar Mobi,"Arnautovicki Put Bb, Visoko 71300 Bosnia and Herzegovina",5.0 ,NONE,18.1678648,43.9985973
Diman caffe bar,"Patriotske Lige 6, Visoko 71300 Bosnia and Herzegovina",5.0 ,NONE,18.1782843,43.9936598
Restaurant Most,"Ul. Alije Izetbegovica bb, Visoko 71300 Bosnia and Herzegovina",3.0 ,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",18.1817822,43.9889617
Restoran Mahala,"Donja Mahala 7, Visoko 71300 Bosnia and Herzegovina",3.0 ,"European, Central European, Pizza, International",18.1815809,43.990554
Restaurant Kod Zutog,"Stupe - Srednje, Ilijas 71380 Bosnia and Herzegovina",5.0 ,NONE,18.428607,43.9940973
Restoran Orijent,"Sarajevska cesta broj 1, Kiseljak 71250 Bosnia and Herzegovina",4.0 ,"European, Grill, Diner, Croatian",18.0823736,43.937509
Restoran Kamin,"Ka telanska 37, Kiseljak 71250 Bosnia and Herzegovina",5.0 ,"Seafood, European, Deli, Grill",18.0786274,43.9399783
Lucky Pub Visoko,"Stari Zanatski Centar Bb, Visoko 71300 Bosnia and Herzegovina",NONE,NONE,18.1798837,43.98876509999999
Caribou Coffee,"Dr. Džananovića 2, Visoko 71300 Bosnia and Herzegovina",NONE,NONE,18.1819936,43.98980239999999
Lucky Pub,"Stari Zanatski Centar, Nekadasnji Pulpitum, Visoko 71300 Bosnia and Herzegovina",NONE,NONE,18.1798837,43.98876509999999
Chilli,"Branilaca, Visoko 71300 Bosnia and Herzegovina",NONE,NONE,18.1765475,43.9930734
